Employee_ID,Department,Role,Login_Timestamp,Logout_Timestamp,File_Access_Timestamp,File_Access_Frequency,Access_Anomaly_Flag,Suspicious_Activity_Flag,Work_Duration,Idle_Time,VPN_Usage,Behavior_Label,Latitude,Longitude
HR026,HR,Analyst,18-01-2024 16:29,18-01-2024 23:51,24-05-2024,17,0,0,7.366666667,1,FALSE,Normal,-74.20693277,-71.76512271
HR027,HR,Manager,10-03-2024 13:44,10-03-2024 20:44,03-03-2024,9,0,0,7,1,TRUE,Normal,-34.77686022,-157.0301793
HR028,HR,Intern,29-02-2024 09:00,29-02-2024 13:30,13-10-2024,6,0,0,4.5,0,FALSE,Normal,-26.98810914,126.4617612
HR029,HR,Analyst,27-01-2024 16:04,27-01-2024 22:40,14-05-2024,5,0,0,6.6,1,FALSE,Normal,6.510991783,-114.4262759
HR030,HR,Analyst,15-02-2024 16:22,16-02-2024 02:04,25-01-2024,18,0,0,9.7,1,TRUE,Normal,36.28452761,163.3590975
HR031,HR,Developer,17-08-2024 17:56,18-08-2024 04:17,03-10-2024,6,0,0,10.35,0,FALSE,Normal,26.23542645,16.70792386
HR032,HR,Analyst,16-09-2024 09:25,16-09-2024 19:10,13-06-2024,17,0,0,9.75,0,FALSE,Normal,-83.09113352,163.0781919
HR033,HR,Manager,22-08-2024 18:32,23-08-2024 03:14,19-02-2024,20,0,0,8.7,0,FALSE,Normal,-73.34892587,-41.71104116
HR034,HR,Analyst,23-07-2024 15:00,23-07-2024 23:52,31-03-2024,11,0,0,8.866666667,1,FALSE,Normal,-88.29830886,76.73021029
HR035,HR,Manager,04-06-2024 18:50,05-06-2024 01:36,01-02-2024,15,0,0,6.766666667,0,FALSE,Normal,83.52364509,53.94476167
HR036,HR,Intern,08-08-2024 18:31,09-08-2024 00:03,23-05-2024,10,0,0,5.533333333,1,FALSE,Normal,-29.59835532,-149.5551865
HR037,HR,Intern,23-04-2024 08:11,23-04-2024 16:26,21-02-2024,15,0,0,8.25,2,TRUE,Normal,-50.53307456,-89.69152011
HR038,HR,Analyst,06-06-2024 18:51,07-06-2024 00:48,16-03-2024,10,0,0,5.95,1,FALSE,Normal,-61.38796467,18.23133645
HR039,HR,Intern,16-06-2024 08:53,16-06-2024 16:38,31-08-2024,8,0,0,7.75,0,TRUE,Normal,-48.59507934,-58.39991976
HR040,HR,Developer,15-02-2024 14:31,15-02-2024 21:05,07-02-2024,8,0,0,6.566666667,2,TRUE,Normal,86.26471707,31.21455635
HR041,HR,Developer,18-05-2024 12:41,18-05-2024 18:49,01-07-2024,5,0,0,6.133333333,1,TRUE,Normal,54.90323418,-126.1948341
HR042,HR,Analyst,21-03-2024 08:51,21-03-2024 16:48,13-09-2024,11,0,0,7.95,2,TRUE,Normal,-36.70748369,-154.4138515
HR043,HR,Developer,16-11-2024 17:37,17-11-2024 01:12,10-02-2024,7,1,0,7.583333333,0,FALSE,Critical,3.470086214,178.6132688
HR044,HR,Developer,02-01-2024 14:01,02-01-2024 20:07,07-11-2024,13,0,0,6.1,2,FALSE,Normal,41.26345655,-164.4694426
HR045,HR,Intern,15-09-2024 12:49,15-09-2024 19:54,12-09-2024,17,0,0,7.083333333,2,FALSE,Normal,-72.86460804,123.443905
HR046,HR,Intern,20-01-2024 11:40,20-01-2024 16:36,04-01-2024,5,0,0,4.933333333,1,TRUE,Normal,47.87717293,-39.91346135
HR047,HR,Analyst,07-08-2024 10:41,07-08-2024 16:34,14-02-2024,12,0,0,5.883333333,2,TRUE,Normal,14.20237103,27.16634787
HR048,HR,Intern,17-05-2024 11:03,17-05-2024 20:12,11-08-2024,7,0,0,9.15,1,FALSE,Normal,-6.122821994,-173.3262203
HR049,HR,Analyst,29-04-2024 09:33,29-04-2024 13:58,27-05-2024,14,0,0,4.416666667,1,TRUE,Normal,47.99530058,102.6688543
HR050,HR,Manager,31-01-2024 14:29,31-01-2024 20:51,09-10-2024,16,0,0,6.366666667,0,FALSE,Normal,-49.45114028,-69.72481537
HR051,HR,Developer,14-09-2024 12:48,14-09-2024 19:14,17-08-2024,8,0,0,6.433333333,1,FALSE,Normal,-82.00122131,-88.28751806
HR052,HR,Intern,07-02-2024 17:36,08-02-2024 02:25,06-03-2024,20,0,0,8.816666667,1,TRUE,Normal,39.30200407,113.9141525
HR053,HR,Manager,20-11-2024 15:10,21-11-2024 00:49,14-10-2024,7,0,0,9.65,0,FALSE,Normal,62.77936664,173.542465
HR054,HR,Manager,11-01-2024 15:29,11-01-2024 23:53,20-04-2024,12,0,0,8.4,2,FALSE,Normal,-17.02021783,28.64233634
HR055,HR,Manager,01-05-2024 18:19,02-05-2024 00:17,07-03-2024,11,0,0,5.966666667,0,TRUE,Normal,73.31563936,16.07168362
HR056,HR,Developer,02-02-2024 13:26,02-02-2024 22:39,30-03-2024,20,0,0,9.216666667,2,TRUE,Normal,78.706236,136.8954958
HR057,HR,Developer,15-05-2024 12:37,15-05-2024 17:08,28-04-2024,7,0,0,4.516666667,0,FALSE,Normal,29.85965753,-120.5205999
HR058,HR,Manager,22-04-2024 16:12,23-04-2024 02:03,24-06-2024,5,0,0,9.85,1,TRUE,Normal,-83.36708777,-114.785792
HR059,HR,Manager,02-02-2024 11:45,02-02-2024 21:01,10-02-2024,6,0,0,9.266666667,2,TRUE,Normal,5.346135664,-171.0203412
HR060,HR,Analyst,11-10-2024 17:54,12-10-2024 01:27,06-10-2024,20,0,0,7.55,1,FALSE,Normal,66.92607165,-91.22804493
HR061,HR,Intern,08-08-2024 10:26,08-08-2024 15:47,18-09-2024,13,0,0,5.35,0,TRUE,Normal,72.92725898,17.72221952
HR062,HR,Developer,25-03-2024 13:33,25-03-2024 18:13,18-07-2024,19,0,0,4.666666667,1,TRUE,Normal,65.7261728,23.31369073
HR063,HR,Intern,11-08-2024 15:31,12-08-2024 01:02,17-07-2024,11,0,0,9.516666667,2,FALSE,Normal,-80.66534969,-130.9626319
HR064,HR,Intern,27-07-2024 10:44,27-07-2024 15:34,29-07-2024,19,0,0,4.833333333,0,TRUE,Normal,-45.76098925,120.8823957
HR065,HR,Intern,26-04-2024 10:08,26-04-2024 20:48,19-08-2024,12,0,0,10.66666667,0,TRUE,Normal,81.39074078,-145.2609406
HR066,HR,Analyst,16-08-2024 12:41,16-08-2024 22:11,19-08-2024,16,0,0,9.5,2,FALSE,Normal,-15.74179938,123.3448051
HR067,HR,Developer,13-07-2024 15:40,13-07-2024 20:57,25-03-2024,19,0,0,5.283333333,0,TRUE,Normal,87.194583,-47.01427426
HR068,HR,Intern,12-02-2024 13:51,12-02-2024 20:20,01-05-2024,10,0,1,6.483333333,0,FALSE,Suspicious,68.56682248,-147.2314843
HR069,HR,Developer,11-08-2024 16:05,11-08-2024 22:40,09-01-2024,14,0,0,6.583333333,1,TRUE,Normal,-10.90872726,-161.4340895
HR070,HR,Manager,12-11-2024 10:26,12-11-2024 20:44,13-07-2024,8,0,0,10.3,1,FALSE,Normal,-31.661923,-133.0292941
HR071,HR,Analyst,15-07-2024 10:23,15-07-2024 15:22,15-02-2024,5,0,0,4.983333333,1,FALSE,Normal,32.73163605,-151.4983389
HR072,HR,Intern,15-04-2024 18:17,16-04-2024 03:45,17-10-2024,12,0,0,9.466666667,1,TRUE,Normal,63.69161814,128.1613408
HR073,HR,Manager,16-10-2024 16:21,17-10-2024 03:18,22-07-2024,15,0,0,10.95,0,FALSE,Normal,-53.28744535,-26.78076486
HR074,HR,Intern,28-06-2024 13:09,28-06-2024 17:42,16-06-2024,20,0,0,4.55,2,TRUE,Normal,-41.48228195,31.67719112
HR075,HR,Analyst,06-01-2024 14:02,07-01-2024 00:21,12-11-2024,13,0,0,10.31666667,2,FALSE,Normal,65.35884251,-139.1886965
HR076,HR,Developer,15-03-2024 16:09,16-03-2024 01:38,21-08-2024,9,0,0,9.483333333,1,TRUE,Normal,-70.97106634,-124.8293926
HR077,HR,Analyst,17-11-2024 11:26,17-11-2024 21:25,26-01-2024,8,1,0,9.983333333,2,FALSE,Critical,20.10272735,-117.6193068
HR078,HR,Analyst,12-08-2024 15:09,13-08-2024 01:07,04-01-2024,5,0,0,9.966666667,0,FALSE,Normal,-66.66801858,-78.58312335
HR079,HR,Intern,15-03-2024 17:14,16-03-2024 01:43,01-01-2024,9,0,0,8.483333333,1,FALSE,Normal,75.2022636,162.6727917
HR080,HR,Manager,27-10-2024 16:59,27-10-2024 23:27,11-03-2024,7,0,0,6.466666667,0,FALSE,Normal,-57.64160256,-52.36267269
HR081,HR,Analyst,19-11-2024 08:22,19-11-2024 17:32,15-10-2024,19,0,0,9.166666667,2,TRUE,Normal,-52.03492144,110.9212744
HR082,HR,Intern,14-08-2024 15:22,15-08-2024 02:03,05-05-2024,19,0,0,10.68333333,1,FALSE,Normal,32.34772947,-54.57835531
HR083,HR,Analyst,19-04-2024 16:41,20-04-2024 02:02,07-05-2024,18,0,0,9.35,2,TRUE,Normal,-51.66975855,-161.159494
HR084,HR,Analyst,17-05-2024 14:41,17-05-2024 19:35,14-01-2024,6,0,0,4.9,0,FALSE,Normal,51.15344447,49.99474143
HR085,HR,Analyst,02-03-2024 17:00,03-03-2024 02:15,21-11-2024,8,0,0,9.25,2,TRUE,Normal,0.228156901,85.00713867
HR086,HR,Manager,14-11-2024 12:58,14-11-2024 19:20,04-01-2024,9,0,0,6.366666667,0,FALSE,Normal,78.86058883,88.04200162
HR087,HR,Manager,04-06-2024 15:08,04-06-2024 20:56,05-02-2024,6,0,0,5.8,2,FALSE,Normal,16.54496868,122.7293907
HR088,HR,Developer,26-07-2024 12:15,26-07-2024 19:58,09-10-2024,13,1,0,7.716666667,0,FALSE,Critical,-33.06528371,-130.0901282
HR089,HR,Analyst,08-11-2024 13:29,08-11-2024 22:59,30-05-2024,20,0,0,9.5,0,FALSE,Normal,41.03745265,107.8722127
HR090,HR,Intern,27-03-2024 15:52,27-03-2024 20:39,30-08-2024,6,0,0,4.783333333,0,TRUE,Normal,-76.7351937,163.748121
HR091,HR,Developer,15-10-2024 17:08,15-10-2024 21:17,20-06-2024,20,0,0,4.15,2,FALSE,Normal,51.46115661,-8.516012756
HR092,HR,Developer,11-05-2024 14:51,12-05-2024 00:02,26-01-2024,10,0,0,9.183333333,2,TRUE,Normal,-10.17333987,30.46307051
HR093,HR,Intern,29-08-2024 15:26,30-08-2024 01:12,22-07-2024,19,0,0,9.766666667,2,TRUE,Normal,-26.58413328,99.39489263
HR094,HR,Intern,20-01-2024 10:41,20-01-2024 16:07,07-11-2024,13,0,0,5.433333333,1,FALSE,Normal,14.21523554,27.4185355
HR095,HR,Intern,22-06-2024 16:39,22-06-2024 22:30,23-04-2024,15,0,0,5.85,0,FALSE,Normal,49.06284804,53.13918038
HR096,HR,Intern,18-02-2024 16:38,18-02-2024 20:40,02-05-2024,5,0,0,4.033333333,2,TRUE,Normal,1.821953759,-101.5611246
HR097,HR,Analyst,14-04-2024 11:30,14-04-2024 21:45,14-06-2024,5,1,0,10.25,2,TRUE,Critical,21.10681858,-167.3436552
HR098,HR,Intern,13-10-2024 18:11,13-10-2024 23:42,13-06-2024,10,0,0,5.516666667,1,FALSE,Normal,70.39388,-54.18320879
HR099,HR,Intern,21-07-2024 13:08,21-07-2024 20:31,31-01-2024,10,0,0,7.383333333,1,TRUE,Normal,-66.36175148,-91.28970663
HR100,HR,Manager,20-04-2024 16:33,20-04-2024 20:53,12-10-2024,11,0,0,4.333333333,1,TRUE,Normal,-60.28811031,-157.613216
HR101,HR,Analyst,07-08-2024 09:53,07-08-2024 20:15,08-01-2024,6,0,0,10.36666667,0,FALSE,Normal,-4.933462074,-159.1600869
HR102,HR,Developer,14-08-2024 16:23,14-08-2024 21:29,27-02-2024,17,0,0,5.1,1,TRUE,Normal,-42.12925407,-35.59146314
HR103,HR,Intern,15-05-2024 14:31,15-05-2024 23:42,15-10-2024,20,0,0,9.183333333,1,TRUE,Normal,-12.90176524,-61.68216863
HR104,HR,Analyst,25-01-2024 18:51,26-01-2024 05:48,06-07-2024,7,0,0,10.95,1,TRUE,Normal,17.37432521,41.39330024
HR105,HR,Analyst,18-11-2024 18:07,19-11-2024 04:21,01-08-2024,7,0,0,10.23333333,1,FALSE,Normal,-46.33163024,137.9130002
HR106,HR,Analyst,24-02-2024 12:13,24-02-2024 21:51,08-04-2024,6,0,0,9.633333333,1,TRUE,Normal,-77.69322388,-94.62686968
HR107,HR,Analyst,14-06-2024 14:25,14-06-2024 23:05,16-09-2024,14,0,0,8.666666667,0,TRUE,Normal,30.20296887,-122.6440066
HR108,HR,Intern,08-04-2024 18:35,09-04-2024 04:30,01-03-2024,9,0,0,9.916666667,0,FALSE,Normal,-1.503639939,-131.8340226
HR109,HR,Developer,10-04-2024 14:04,10-04-2024 21:16,23-05-2024,15,0,0,7.2,1,FALSE,Normal,65.02514996,120.6794891
HR110,HR,Analyst,15-03-2024 16:41,16-03-2024 02:02,09-01-2024,18,0,0,9.35,2,FALSE,Normal,79.16693726,-23.08098422
HR111,HR,Developer,26-01-2024 10:11,26-01-2024 15:48,21-01-2024,18,0,0,5.616666667,1,TRUE,Normal,-3.256493693,97.35433845
HR112,HR,Developer,02-04-2024 10:08,02-04-2024 20:27,31-07-2024,12,0,0,10.31666667,0,TRUE,Normal,12.11993692,100.2439528
HR113,HR,Manager,22-06-2024 12:40,22-06-2024 17:27,11-11-2024,12,0,0,4.783333333,2,FALSE,Normal,-72.66523115,-46.8245432
HR114,HR,Developer,27-09-2024 12:03,27-09-2024 16:07,18-10-2024,20,0,0,4.066666667,2,FALSE,Normal,66.1496448,-67.70705326
HR115,HR,Developer,14-06-2024 12:48,14-06-2024 17:03,11-07-2024,5,0,0,4.25,2,TRUE,Normal,8.154593583,-127.5670705
HR116,HR,Developer,17-03-2024 11:10,17-03-2024 21:41,22-05-2024,18,0,0,10.51666667,0,TRUE,Normal,2.365287907,-58.2293583
HR117,HR,Intern,05-04-2024 15:00,05-04-2024 22:45,26-09-2024,5,0,0,7.75,0,FALSE,Normal,-57.92636248,82.25960935
HR118,HR,Intern,10-09-2024 10:29,10-09-2024 16:27,31-07-2024,13,0,0,5.966666667,0,TRUE,Normal,-48.50755755,56.49082244
HR119,HR,Manager,15-02-2024 13:38,15-02-2024 17:38,15-02-2024,12,0,0,4,0,TRUE,Normal,-7.18973519,-155.5409664
HR120,HR,Intern,21-02-2024 09:01,21-02-2024 19:17,03-04-2024,17,0,0,10.26666667,1,FALSE,Normal,84.96124504,-23.51780311
HR121,HR,Developer,20-02-2024 14:50,20-02-2024 22:19,22-06-2024,12,0,0,7.483333333,1,TRUE,Normal,-10.40142401,-4.154792421
HR122,HR,Intern,12-02-2024 15:13,12-02-2024 22:53,05-03-2024,13,0,0,7.666666667,2,TRUE,Normal,81.89615879,-141.4982099
HR123,HR,Analyst,02-08-2024 17:11,02-08-2024 23:40,02-10-2024,13,0,0,6.483333333,1,TRUE,Normal,-43.66633065,-167.4052544
HR124,HR,Analyst,03-08-2024 11:14,03-08-2024 16:45,23-06-2024,19,1,0,5.516666667,1,FALSE,Critical,60.86448592,46.83458777
HR125,HR,Manager,12-07-2024 11:48,12-07-2024 16:25,14-11-2024,5,0,0,4.616666667,0,FALSE,Normal,21.16174203,-166.4391649
HR126,HR,Manager,22-01-2024 12:03,22-01-2024 19:39,04-01-2024,9,0,0,7.6,0,TRUE,Normal,-31.88219474,-110.3647484
HR127,HR,Intern,05-11-2024 13:38,05-11-2024 19:27,30-01-2024,11,0,0,5.816666667,1,TRUE,Normal,80.52085642,-164.6760814
HR128,HR,Manager,04-09-2024 09:04,04-09-2024 15:21,02-06-2024,14,0,0,6.283333333,1,TRUE,Normal,70.96058185,21.54168845
HR129,HR,Manager,07-07-2024 11:57,07-07-2024 20:12,13-02-2024,16,1,0,8.25,1,FALSE,Critical,54.85607705,81.83490299
HR130,HR,Developer,07-11-2024 14:59,08-11-2024 00:14,22-10-2024,13,0,0,9.25,2,TRUE,Normal,-89.71391525,79.7102845
HR131,HR,Analyst,19-09-2024 10:55,19-09-2024 18:58,14-05-2024,16,0,0,8.05,1,FALSE,Normal,-78.4972863,-125.273806
HR132,HR,Manager,06-04-2024 12:36,06-04-2024 16:38,10-04-2024,17,0,0,4.033333333,1,TRUE,Normal,-86.36250709,130.760034
HR133,HR,Intern,14-07-2024 17:13,15-07-2024 00:27,24-07-2024,12,1,0,7.233333333,2,FALSE,Critical,-6.121106526,-85.45826531
HR134,HR,Developer,06-06-2024 16:57,06-06-2024 23:26,14-06-2024,16,0,0,6.483333333,2,FALSE,Normal,23.79164528,-81.79537817
HR135,HR,Intern,24-02-2024 13:04,24-02-2024 23:01,03-10-2024,19,0,0,9.95,2,TRUE,Normal,-40.97033945,63.97152328
HR136,HR,Intern,13-02-2024 17:12,13-02-2024 22:10,25-05-2024,11,0,0,4.966666667,0,TRUE,Normal,-68.36437236,127.2807331
HR137,HR,Intern,08-02-2024 16:52,08-02-2024 23:33,07-02-2024,6,0,0,6.683333333,2,FALSE,Normal,-9.777279403,124.2908746
HR138,HR,Developer,27-05-2024 11:13,27-05-2024 20:46,13-01-2024,7,1,0,9.55,1,FALSE,Critical,-24.84793747,-55.25176665
HR139,HR,Intern,06-11-2024 18:24,06-11-2024 22:24,05-09-2024,14,1,0,4,0,TRUE,Critical,-89.47208599,-96.55649824
HR140,HR,Analyst,11-01-2024 12:56,11-01-2024 19:00,26-02-2024,16,0,0,6.066666667,1,TRUE,Normal,66.05729963,-44.859682
HR141,HR,Developer,10-06-2024 09:33,10-06-2024 15:18,23-04-2024,18,0,0,5.75,0,FALSE,Normal,62.41114138,82.06774415
HR142,HR,Manager,07-03-2024 13:48,07-03-2024 21:37,26-01-2024,14,0,0,7.816666667,0,FALSE,Normal,-19.99146291,-125.6230067
HR143,HR,Analyst,12-07-2024 15:39,12-07-2024 23:50,30-05-2024,13,0,0,8.183333333,2,FALSE,Normal,83.23118519,-64.30238726
HR144,HR,Developer,16-08-2024 09:19,16-08-2024 20:02,02-10-2024,12,0,0,10.71666667,2,FALSE,Normal,10.73139588,-113.6075794
HR145,HR,Developer,20-11-2024 15:43,20-11-2024 21:12,19-08-2024,17,0,0,5.483333333,2,FALSE,Normal,-73.03138444,-139.5555737
HR146,HR,Intern,22-06-2024 18:43,23-06-2024 03:42,01-06-2024,9,0,0,8.983333333,0,TRUE,Normal,89.79031685,-76.43393977
HR147,HR,Manager,16-10-2024 18:09,17-10-2024 01:59,18-08-2024,13,0,0,7.833333333,0,TRUE,Normal,-31.58628462,174.4173471
HR148,HR,Developer,23-03-2024 09:27,23-03-2024 18:24,24-09-2024,5,0,0,8.95,1,TRUE,Normal,-46.91815116,49.28237332
HR149,HR,Intern,13-01-2024 13:07,13-01-2024 18:22,30-04-2024,6,0,0,5.25,0,FALSE,Normal,29.20889608,20.14764485
HR150,HR,Intern,20-03-2024 08:07,20-03-2024 13:59,16-06-2024,17,0,0,5.866666667,2,FALSE,Normal,-31.74882368,-128.6624856
HR151,HR,Developer,03-05-2024 11:37,03-05-2024 22:07,18-02-2024,11,0,0,10.5,1,FALSE,Normal,-51.75400721,-153.2019179
HR152,HR,Analyst,17-01-2024 15:00,17-01-2024 20:42,19-01-2024,14,0,0,5.7,2,FALSE,Normal,-42.66758918,-79.71347183
HR153,HR,Manager,15-03-2024 17:22,15-03-2024 23:46,20-09-2024,19,0,0,6.4,2,FALSE,Normal,-14.50131035,10.21947476
HR154,HR,Intern,17-04-2024 10:24,17-04-2024 21:05,01-03-2024,8,0,0,10.68333333,2,TRUE,Normal,30.60159068,2.929595437
HR155,HR,Analyst,02-11-2024 18:06,02-11-2024 22:35,20-06-2024,5,0,0,4.483333333,1,TRUE,Normal,8.620374712,40.44435424
HR156,HR,Intern,02-11-2024 16:22,02-11-2024 22:45,30-05-2024,16,1,0,6.383333333,1,FALSE,Critical,-31.7234971,164.7612285
HR157,HR,Developer,22-04-2024 15:30,22-04-2024 19:59,18-01-2024,8,0,0,4.483333333,2,FALSE,Normal,87.3032588,121.7516056
HR158,HR,Analyst,07-02-2024 12:09,07-02-2024 16:44,13-05-2024,18,0,0,4.583333333,2,TRUE,Normal,6.527419107,-133.7967111
HR159,HR,Analyst,21-02-2024 09:15,21-02-2024 17:02,13-01-2024,13,0,0,7.783333333,0,FALSE,Normal,17.25104658,31.32787648
HR160,HR,Intern,21-01-2024 09:42,21-01-2024 15:11,04-01-2024,12,0,0,5.483333333,2,FALSE,Normal,-33.98317839,104.4296866
HR161,HR,Manager,23-02-2024 14:00,23-02-2024 19:25,16-02-2024,12,0,0,5.416666667,2,FALSE,Normal,-2.399778455,101.8420862
HR162,HR,Developer,24-03-2024 12:42,24-03-2024 20:47,07-03-2024,6,0,0,8.083333333,2,FALSE,Normal,-38.47212239,105.9752938
HR163,HR,Manager,17-11-2024 17:38,18-11-2024 01:24,12-03-2024,6,0,0,7.766666667,0,FALSE,Normal,44.53843143,-129.8992562
HR164,HR,Analyst,29-02-2024 08:08,29-02-2024 17:07,19-01-2024,8,0,0,8.983333333,1,TRUE,Normal,27.74840094,91.55404525
HR165,HR,Analyst,05-10-2024 18:43,06-10-2024 02:08,22-01-2024,17,0,0,7.416666667,1,TRUE,Normal,-66.85905316,-124.1905732
HR166,HR,Manager,03-04-2024 13:31,03-04-2024 21:00,20-02-2024,19,0,0,7.483333333,2,TRUE,Normal,61.03136176,178.4512842
HR167,HR,Analyst,19-03-2024 11:36,19-03-2024 20:16,03-02-2024,14,0,0,8.666666667,2,TRUE,Normal,-12.16519719,-57.79169807
HR168,HR,Manager,06-05-2024 09:01,06-05-2024 18:34,22-07-2024,20,0,0,9.55,0,FALSE,Normal,-71.05012019,-21.8782699
HR169,HR,Intern,10-05-2024 12:44,10-05-2024 20:22,17-11-2024,15,0,0,7.633333333,0,FALSE,Normal,-64.46643111,-17.62055001
HR170,HR,Manager,11-02-2024 14:32,11-02-2024 21:22,01-05-2024,13,0,0,6.833333333,2,TRUE,Normal,-5.481639002,67.48896675
HR171,HR,Developer,05-04-2024 11:25,05-04-2024 20:20,17-09-2024,20,0,0,8.916666667,0,TRUE,Normal,-12.60559485,7.782510722
HR172,HR,Analyst,27-09-2024 18:59,28-09-2024 05:38,28-04-2024,10,0,0,10.65,2,FALSE,Normal,69.75343007,80.05080515
HR173,HR,Intern,11-06-2024 18:15,12-06-2024 01:57,20-08-2024,6,0,0,7.7,0,FALSE,Normal,-39.125376,-137.0124922
HR174,HR,Analyst,09-04-2024 15:35,09-04-2024 21:34,11-11-2024,16,0,0,5.983333333,2,FALSE,Normal,-55.53484716,-44.02096766
HR175,HR,Analyst,07-10-2024 12:12,07-10-2024 20:54,28-02-2024,11,0,0,8.7,1,FALSE,Normal,33.86168614,-63.57406589
HR176,HR,Intern,30-01-2024 08:22,30-01-2024 19:13,09-05-2024,13,0,0,10.85,2,FALSE,Normal,75.27323191,-42.47485122
HR177,HR,Developer,01-06-2024 13:15,01-06-2024 19:49,25-05-2024,11,0,0,6.566666667,1,TRUE,Normal,83.22559073,102.2003049
HR178,HR,Developer,05-01-2024 08:40,05-01-2024 13:48,09-07-2024,17,0,0,5.133333333,1,FALSE,Normal,-77.38550512,-76.72787633
HR179,HR,Analyst,05-07-2024 13:53,05-07-2024 23:11,08-06-2024,14,0,0,9.3,0,TRUE,Normal,76.74493166,4.519059273
HR180,HR,Developer,16-05-2024 09:01,16-05-2024 18:27,29-01-2024,14,0,0,9.433333333,0,TRUE,Normal,22.9060782,41.41999282
HR181,HR,Analyst,05-10-2024 12:29,05-10-2024 19:24,02-06-2024,18,0,0,6.916666667,0,FALSE,Normal,53.25711582,-92.78304358
HR182,HR,Manager,18-08-2024 09:45,18-08-2024 18:12,04-11-2024,12,0,0,8.45,1,TRUE,Normal,-13.2738764,151.8113496
